Instituto/Curso, Cadastro Cancelado, Cancelamento Novo Vestibular, Cancelamento Judicial, Cancelamento Por CRPL Zero, Decurso de Prazo M�ximo p/ Conclus�o de Curso, Desist�ncia, Excluido, Exclu�do Art.45 Possui Outro Curso, Falecimento do Aluno, Limite de Trancamento, N�o Confirm. V�nculo, T�rmino do Benef�cio do Conv�nio, Transfer�ncia p/ Outra IES, Total Geral
Letras (Licenciatura em Libras e Língua Portuguesa) - Intensivo, 0,0,0,0,0,2,0,0,0,0,0,0,0,2
Letras (Licenciatura em Língua Espanhola), 0,0,0,0,1,0,0,0,0,0,0,0,0,1
Letras (Licenciatura em Língua Inglesa),1,0,0,0,10,9,0,0,0,0,0,0,0,20
Letras (Licenciatura em Língua Inglesa/Parfor), 0,0,0,0,0,1,0,0,0,0,0,0,0,1
Letras (Licenciatura em Língua Portuguesa), 0,4,0,0,43,9,0,1,0,0,0,0,0,57
Letras (Licenciatura em Língua Portuguesa/Parfor), 0,0,0,0,0,1,0,0,0,0,0,0,0,1
Instituto de Tecnologia - ITEC,0,12,0,1,254,94,0,1,1,0,0,8,6,377
Engenharia Civil,0,2,0,1,59,14,0,0,0,0,0,0,2,78
Engenharia da Computação,0,1,0,0,24,15,0,0,0,0,0,1,3,44
Engenharia de Alimentos,0,1,0,0,6,9,0,0,0,0,0,0,0,16
Engenharia de Telecomunicações,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Engenharia Elétrica,0,2,0,0,51,9,0,0,1,0,0,2,0,65
Engenharia Mecânica,0,3,0,0,79,13,0,0,0,0,0,4,1,100
Engenharia Naval,0,0,0,0,6,2,0,0,0,0,0,0,0,8
Engenharia Química,0,2,0,0,19,11,0,0,0,0,0,0,0,32
Engenharia Sanitária,0,0,0,0,9,0,0,0,0,0,0,0,0,9
Engenharia Sanitária e Ambiental,0,1,0,0,1,10,0,0,0,0,0,1,0,13
Engenharia Ferroviária e Logística,0,0,0,0,0,3,0,0,0,0,0,0,0,3
Engenharia Biomédica,0,0,0,0,0,6,0,1,0,0,0,0,0,7
Total Geral,12,83,2,2,1169,446,397,4,4,22,1,9,21,2172
