Instituto/Curso,
Engenharia Elétrica Bacharelado Extensivo Integral,36
Engenharia Elétrica Bacharelado Extensivo Integral,35
Engenharia Ferroviária e Logística Bacharelado Extensivo Vespertino,30
Engenharia Mecânica Bacharelado Extensivo Matutino,41
Engenharia Mecânica Bacharelado Extensivo Vespertino,41
Engenharia Naval Bacharelado Extensivo Matutino,26
Engenharia Química Bacharelado Extensivo Matutino,26
Engenharia Química Bacharelado Extensivo Vespertino,25
Engenharia Sanitária e Ambiental Bacharelado Extensivo Matutino,30
Engenharia Sanitária e Ambiental Bacharelado Extensivo Vespertino,30
