Instituto/Curso,Área, Canc. Por Reopção, Cancelamento Judicial, Cancelamento Por Crpl Zero, Decurso de Prazo Máximo P/ Conclusão de Curso, Desistência, Excluído Art.45 Possui Outro Curso, Limite de Trancamentos, Prescrito, Transf.P/Outra IES, Transferência Interna (Administrativa) ,Total
Desenvolvimento Rural,BIO,1,0,0,0,1,0,0,0,0,0,2
Biotecnologia,BIO,0,0,0,3,3,0,0,0,0,0,6
Ciências Biológicas,BIO,0,0,0,5,7,0,0,0,0,0,12
Ciências Biológicas (Licenciatura),BIO,0,0,0,11,4,0,0,0,0,0,15
Biomedicina,BIO,0,0,0,1,8,0,0,0,0,0,9
Engenharia de Bioprocessos,HUM,0,0,0,0,6,0,0,0,0,0,6
Artes Visuais,HUM,0,0,0,2,2,0,0,0,0,0,4
Artes Visuais (Licenciatura),HUM,0,0,0,3,1,0,0,0,0,1,5
Cinema e Audiovisual,HUM,0,0,0,4,7,0,0,0,0,0,11
Dança (Licenciatura),HUM,0,0,0,2,1,0,0,0,0,0,3
Museologia,HUM,1,0,0,2,2,0,0,0,0,0,5
Mísica (Licenciatura),HUM,0,0,0,4,5,0,0,0,0,0,9
Produção Multimídia,HUM,0,0,0,8,0,0,0,0,0,0,8
Teatro (Licenciatura),HUM,0,0,0,7,4,0,0,0,0,0,11
Educação Física (Licenciatura),HUM,0,0,0,10,2,0,0,0,0,0,12
Pedagogia (Licenciatura),HUM,1,0,0,41,13,0,0,1,0,0,56
Enfermagem,BIO,0,0,0,2,17,0,0,0,1,0,20
Farmácia,BIO,0,0,0,0,8,0,0,0,1,0,9
Fisioterapia,BIO,0,0,0,0,5,0,0,0,0,0,5
Medicina,BIO,0,0,0,1,4,0,0,0,0,1,6
Nutrição,BIO,0,0,0,7,8,0,0,0,0,0,15
Odontologia,BIO,1,0,0,2,13,0,0,0,1,0,17
Terapia Ocupacional,BIO,1,0,0,0,3,1,0,0,0,0,5
ABI - Física,EXATAS,0,1,0,0,15,0,1,0,0,0,17
Ciência da Computaço,EXATAS,0,0,0,13,4,0,0,1,0,0,18
