Instituto/Curso,Área, Cadastro cancelado, Cancelamento por reopção, Cancelamento por CRPL zero, Decurso de prazo máximo p/ conclusão de curso, Desistência, Limite de trancamentos, Prescrito, Programa cancelado, Término do benefício do convênio,Trancamento de programa,Transferência para outra IES,Total Geral
Letras (Licenciatura em Língua Inglesa),HUM,0,2,7,16,3,49,0,0,0,0,0,77
Letras (Licenciatura em Língua Portuguesa),HUM,0,2,0,7,30,13,30,0,0,0,0,82
Letras (Licenciatura em Libras e Língua Portuguesa) - Intensivo,HUM,0,1,14,1,5,14,3,0,0,0,0,38
Arquitetura e Urbanismo,HUM,0,1,6,4,3,8,40,0,0,0,1,63
Engenharia Biomédica,EXATAS,0,4,3,0,5,6,4,0,0,0,0,22
Engenharia Civil,EXATAS,0,5,18,29,16,32,116,0,0,0,0,216
Engenharia da Computação,EXATAS,0,4,11,9,15,22,73,0,0,0,0,134
Engenharia de Alimentos,EXATAS,0,4,0,1,9,0,46,0,0,0,0,60
Engenharia de Telecomunicações,EXATAS,0,2,5,1,7,6,16,0,0,0,0,37
Engenharia Elétrica,EXATAS,0,3,5,6,10,19,49,0,1,0,1,94
Engenharia Ferroviária e Logística,EXATAS,0,1,0,0,0,1,3,0,0,0,0,5
Engenharia Mecânica,EXATAS,0,2,10,9,8,10,35,0,0,0,0,74
Engenharia Naval,EXATAS,0,0,0,1,2,7,15,0,0,0,0,25
Engenharia Química,EXATAS,0,8,8,6,14,50,19,0,0,0,0,105
Engenharia Sanitária e Ambiental,EXATAS,0,1,10,2,2,9,0,0,0,0,0,24
