,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2017,,,,,,,,,,,,
Instituto/Curso, Canc.por Reopção,Cancelamento por CRPL Zero, Decurso de Prazo Máximo P/ Conclusão de Curso,Desistência,Prescrito,Limite de Trancamento,Transferência para outra IES,Possui outro curso,Falecimento do Aluno,Programa Cancelado,Total Geral,
Instituto de Ciências da Educação - ICED,1,0,0,16,0,0,1,0,18,,,
Instituto de Ciências da Saúde – ICS,6,0,0,64,0,0,0,0,71,,,
Instituto de Ciências Exatas e Naturais - ICEN,16,0,0,107,0,0,0,0,123,,,
Instituto de Ciências Jurídicas - ICJ,0,0,0,11,0,0,2,0,13,,,
Instituto de Ciências Sociais Aplicadas - ICSA,16,0,0,108,0,0,0,1,125,,,
Instituto de Educação Matemática e Científica - IEMCI,0,0,0,7,0,0,0,0,7,,,
Instituto de Filosofia e Ciências Humanas - IFCH,12,0,6,55,1,1,0,0,74,,,
Instituto de Geociências - IG,12,0,1,40,0,0,0,0,53,,,
Instituto de Letras e Comunicação - ILC,18,0,0,45,0,0,0,0,63,,,
Instituto de Tecnologia - ITEC,23,0,0,129,0,0,2,0,154,,,
