Instituto/Curso,Área, Canc. Por Reopção, Cancelamento Judicial, Cancelamento Por Crpl Zero, Decurso de Prazo Máximo P/ Conclusão de Curso, Desistência, Excluído Art.45 Possui Outro Curso, Limite de Trancamentos, Prescrito, Transf.P/Outra IES, Transferência Interna (Administrativa) ,Total,,,,,,,,,,,,,,
Desenvolvimento Rural,BIO,1,0,0,0,1,0,0,0,0,0,2,,,Instituto Amazônico de  Agriculturas Familiares,1,0,0,0,1,0,0,0,0,0,2
Biotecnologia,BIO,0,0,0,3,3,0,0,0,0,0,6,,,Instituto de Ciências Biológicas,0,0,0,20,28,0,0,0,0,0,48
Ciências Biológicas,BIO,0,0,0,5,7,0,0,0,0,0,12,,,Instituto de Ciências da Arte,1,0,0,32,22,0,0,0,0,1,56
Ciências Biológicas (Licenciatura),BIO,0,0,0,11,4,0,0,0,0,0,15,,,Instituto de Ciências da Educação,1,0,0,51,15,0,0,1,0,0,68
Biomedicina,BIO,0,0,0,1,8,0,0,0,0,0,9,,,Instituto de Ciências da Saúde,2,0,0,12,58,1,0,0,3,1,77
Engenharia de Bioprocessos,HUM,0,0,0,0,6,0,0,0,0,0,6,,,Instituto de Ciências Exatas e Naturais,1,1,0,70,90,0,1,3,0,1,167
Artes Visuais,HUM,0,0,0,2,2,0,0,0,0,0,4,,,Instituto de Ciências Jurídicas,0,0,0,4,21,0,0,3,1,0,29
Artes Visuais (Licenciatura),HUM,0,0,0,3,1,0,0,0,0,1,5,,,Instituto de Ciências Sociais Aplicadas,3,0,0,98,60,0,0,9,1,0,171
Cinema e Audiovisual,HUM,0,0,0,4,7,0,0,0,0,0,11,,,Instituto de Educação Matemática e Científica,1,0,0,9,10,0,0,0,0,0,20
Dança (Licenciatura),HUM,0,0,0,2,1,0,0,0,0,0,3,,,Instituto de Filosofia e Ciências Humanas,0,0,2,69,66,0,0,0,0,0,137
Museologia,HUM,1,0,0,2,2,0,0,0,0,0,5,,,Instituto de Geociências,1,0,0,11,27,0,2,0,0,0,41
Mísica (Licenciatura),HUM,0,0,0,4,5,0,0,0,0,0,9,,,Instituto de Letras e Comunicação,2,0,1,44,37,0,1,2,0,0,87
Produção Multimídia,HUM,0,0,0,8,0,0,0,0,0,0,8,,,Instituto de Tecnologia,6,0,0,98,147,0,2,4,2,0,259
Teatro (Licenciatura),HUM,0,0,0,7,4,0,0,0,0,0,11,,,,,,,,,,,,,,
Educação Física (Licenciatura),HUM,0,0,0,10,2,0,0,0,0,0,12,,,,,,,,,,,,,,
Pedagogia (Licenciatura),HUM,1,0,0,41,13,0,0,1,0,0,56,,,,,,,,,,,,,,
